Ticker,Fund Name,7-Day Yield,Category,Net Assets
SWVXX,Schwab Prime Advantage Money Fu,3.65%,N/A,$0.00B
SNAXX,Schwab Prime Advantage Money Fu,3.81%,N/A,$0.00B
SNVXX,Schwab Government Money Fund - ,5.22%,N/A,$0.00B
SGUXX,Schwab Government Money Fund Ul,3.69%,N/A,$0.00B
SNOXX,Schwab Treasury Obligations Mon,3.69%,N/A,$0.00B
SCOXX,Schwab Treasury Obligations Mon,3.85%,N/A,$0.00B
SNSXX,Schwab U.S. Treasury Money Fund,3.62%,N/A,$0.00B
SUTXX,Schwab U.S. Treasury Money Fund,3.77%,N/A,$0.00B
SWTXX,Schwab Municipal Money Fund - I,2.72%,N/A,$0.00B
SWOXX,Schwab Municipal Money Fund - U,2.87%,N/A,$0.00B
SWKXX,Schwab California Municipal Mon,2.23%,N/A,$0.00B
SCAXX,Schwab California Municipal Mon,2.38%,N/A,$0.00B
SWYXX,Schwab New York Municipal Money,2.77%,N/A,$0.00B
SNYXX,Schwab New York Municipal Money,2.92%,N/A,$0.00B
SWWXX,Schwab AMT Tax-Free Money Fund ,2.69%,N/A,$0.00B
SCTXX,Schwab AMT Tax-Free Money Fund ,2.84%,N/A,$0.00B
